ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"#\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Learning Name\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_2\" Title=\"Learning Name\" Type=\"Text\" ID=\"{aea6c7d6-1d6a-4edf-82e2-8cf8cfad5534}\" StaticName=\"field_2\" />","<Field ID=\"{a7506883-8091-4635-9178-13d167e2aeb0}\" DisplayName=\"Description\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field Name=\"field_4\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Technical area\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" Sortable=\"FALSE\" ID=\"{e7c9fc25-c38a-4d3d-bee9-143aed15d130}\" StaticName=\"field_4\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" AppendOnly=\"FALSE\" />","<Field ID=\"{de21ec7b-8588-40a0-ada8-2c38c997d2e1}\" DisplayName=\"Owner\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{2f4a96de-a845-4eac-b335-740141496112}\" DisplayName=\"Contact details\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{6d44ea99-4442-4b6b-b28a-703467e1b3a2}\" DisplayName=\"Developer\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Focus area\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_8\" Title=\"Focus area\" Type=\"Text\" ID=\"{d907a78f-13a2-4dbd-af10-3d4487a4c90f}\" StaticName=\"field_8\" />","<Field Name=\"field_9\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Language\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" Sortable=\"FALSE\" ID=\"{d9cfd906-fe29-40bc-9400-30ea31069f05}\" StaticName=\"field_9\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" AppendOnly=\"FALSE\" />","<Field ID=\"{c0f0cebd-376a-4119-98b1-d8330f556530}\" DisplayName=\"Platform\" Name=\"field_10\" StaticName=\"field_10\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{1e4a6821-0a93-4b1c-ab3a-52b83511cf2f}\" DisplayName=\"Intended audience\" Name=\"field_11\" StaticName=\"field_11\" Type=\"Text\" />","<Field ID=\"{073ebc50-46aa-48c2-8a3a-8957ddb1cd88}\" DisplayName=\"Modality\" Name=\"field_12\" StaticName=\"field_12\" Type=\"Note\" />","<Field ID=\"{b0666b1b-5863-4129-804a-b6bfd5db3222}\" DisplayName=\"Link\" Name=\"field_14\" StaticName=\"field_14\" Type=\"Note\" />","<Field ID=\"{542498ca-5bdf-4c3e-be33-0d4281b00310}\" DisplayName=\"Identified Gaps/ Deficiences\" Name=\"field_15\" StaticName=\"field_15\" Type=\"Text\" />","<Field ID=\"{02fd8d72-5973-4837-98eb-ecd0034359c8}\" DisplayName=\"Contributor\" Name=\"field_16\" StaticName=\"field_16\" Type=\"Number\" />","<Field ID=\"{faae5f17-c321-4c0c-a365-a29989adc941}\" DisplayName=\"Comment\" Name=\"field_17\" StaticName=\"field_17\" Type=\"Text\" />","<Field Type=\"Text\" DisplayName=\"Sign-off status\" Title=\"Sign-off status\" StaticName=\"_Flow_SignoffStatus\" ID=\"{81c5d389-440b-4b96-9e55-1bb152b9f45b}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Number\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Learning Name","Description","Technical area","Focus area","Intended audience","Owner","Developer","Contact details","Language","Modality","Platform","Link","Comment","Sign-off status"
"CBDE: Preparedness for Health First Responders","Provide them with basic training on managing and responding to a CBDE by looking at it from a health first-responder angle.","Chemical, biological, radiological and nuclear emergencies","CBRN","Public health professionals/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501116/0_w27tnxn2/0_bfjewsep",,
"CBDE: Preparedness for Public Health Professionals","Address some common misperceptions about Chemical and Biological Deliberate Events","Chemical, biological, radiological and nuclear emergencies","CBRN","Public health professionals ","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501116/0_y3z538el/0_vv1olcc3",,
"Chemical Hazards Part I: An Introduction to Chemical Hazards
","This online learning programme is designed to address this important issue by introducing learners to types of chemical hazards and examples of chemical incidents from history.
","Chemical, biological, radiological and nuclear emergencies","Management of chemicals","First responders and clinicians, including doctors and nurses. This includes people who would be first on a scene at a chemical incident, such as fire fighters, police officers, paramedics, hospital management staff, and more. ","WHO","HQ/WHO Academy","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOA+0037A_CHEMHAZ_EN+2024?source=edX",,
"Chemical Hazards Part II: Elements for Assessment
","This online learning programme is designed to enable practice in the investigation of chemical incidents.
","Chemical, biological, radiological and nuclear emergencies","Management of chemicals","First responders and clinicians, including doctors and nurses. This includes people who would be first on a scene at a chemical incident, such as fire fighters, police officers, paramedics, hospital management staff, and more. ","WHO","HQ/WHO Academy","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOA+0037B_CHEMHAZ_EN+2024?source=edX",,
"Chemical Hazards Part III: Immediate Actions at the Event Site
","This online learning programme is designed to enable practice in the actions to take at a chemical incident site. 
","Chemical, biological, radiological and nuclear emergencies","Management of chemicals","First responders and clinicians, including doctors and nurses. This includes people who would be first on a scene at a chemical incident, such as fire fighters, police officers, paramedics, hospital management staff, and more. ","WHO","HQ/WHO Academy","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOA+0037C_CHEMHAZ_EN+2024?source=edX",,
"Chemical, Biological, Radiological and Nuclear (CBRN) considerations in Mass Gatherings","Describe the basics of CBRN incidents, CBRN risk assessment and CBRN incidents management, including Emergency Medical Team's (EMT) role","Chemical, biological, radiological and nuclear emergencies","CBRN","Public health professionals, mass gatherings organizers, public safety and other multi-sectoral emergency planners and responders involved in the planning of delivery of a Mass Gathering event.","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=388",,
"Cholera Outbreaks: Emergency Preparedness and Response","This course outlines the objectives of a cholera outbreak response, how to detect and confirm cholera outbreaks and how to effectively organize the response including describing control measures. It also describes steps to take to be better prepared to respond to cholera outbreaks. Good preparedness leads to faster more effective outbreak response.","Health emergency preparedness and response management","Cholera","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, Pashto","Online","OpenWHO","https://openwho.org/playlist/dedicated/493105/0_txbklgi0/0_rusjh8yz
",,
"Clinical management of COVID-19 respiratory equipment","Developed due to the enormous emphasis placed on need for safe provision of oxygen to patients with COVID-19, but can be used for conditions beyond COVID-19.","Health services provision","COVID-19","WHO staff/MoH/HCPs","WHO","HQ/WHE/HSP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/529855/0_hor2h1ly/0_jdpzzxap",,
"Clinical management of patients with COVID19 General considerations","Presentations address all aspects of clinical management, including facility preparation and surge planning","Health services provision","COVID-19","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, Russian","Online","OpenWHO","https://openwho.org/playlist/dedicated/500316/0_5lox1o7u/0_tu656kc3",,
"Clinical management of patients with COVID19 Initial approach to the acutely ill patient","Goal of these modules is to prepare and support health providers as they provide emergency care to seriously ill patients.","Health services provision","COVID-19","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English, Russian","Online","OpenWHO","https://openwho.org/playlist/dedicated/500316/0_xfe055ah/0_sgcgs6yg",,
"Clinical management of patients with COVID19 Investigations and care for mild moderate and severe disease","Provide an overview of the investigations and management strategies in caring for patients with mild, moderate, and severe COVID-19 ","Health services provision","COVID-19","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English, Russian","Online","OpenWHO","https://openwho.org/playlist/dedicated/500316/0_5f1x2wvv/0_jlfj5odb",,
"Clinical management of patients with COVID19 Rehabilitation of patients with COVID19","Presentations address all aspects of clinical management, including facility preparation and surge planning","Health services provision","COVID-19","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","Armenian, Chinese, English, French, Macedonian, Russian, Ukrainian","Online","OpenWHO","https://openwho.org/playlist/dedicated/500316/0_ic95heel/0_ebpgu9oh",,
"Controlling the Spread of COVID-19 at Ground Crossings","Manage an outbreak of COVID-19 disease on board a ship","Points of entry (PoEs) and border health","COVID-19","National IHR Focal Points, Port health authorities (PHAs) and local, provincial, and national health surveillance and response systems, ship operators and port operators.","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=333",,
"COVID-19 Simulation Exercises Packages","To support countries' COVID-19 preparedness efforts, the Department of Health Security Preparedness at WHO headquarters has developed various COVID-19 Tabletop Exercise (TTX) and Drill (DR) packages.","Research & monitoring and evaluation","COVID-19","WHO staff/MoH/HCPs","WHO","HQ/WHE","cer@who.int","English","Training toolkits and packages","Webpage","https://www.who.int/emergencies/diseases/novel-coronavirus-2019/training/simulation-exercise",,
"COVID-19: Putting on and Taking off Personal Protective Equipment (PPE)","Demonstrate the correct way to put on and take off PPE and sanitize hands","Infection prevention and control (IPC) & safe environment in health facilities","PPE","WHO staff/MoH/HCPs","WHO","HQ/WHE","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/29023",,
"COVID-19: risk communication and community engagement","This infodemic management course applies evidence-based guidance to the COVID-19 pandemic. It covers key risk communication and community engagement (RCCE) principles and illustrates how they can be operationalized in the context of an extended outbreak that affects different populations with varying risk levels.","Risk communication and community engagement (RCCE)","RCCE","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, Ukrainian","Online","OpenWHO","https://openwho.org/playlist/dedicated/529855/0_bth07gtj/0_wlhik4bk",,
"Early Warning and Response Training","The course covered concepts and methods for EWRS, including inter-sectoral collaboration for EWRS","Surveillance","EWARS","Ministry of Health officials","WHO","HQ/WHE",,"English","In-person",,,,
"Ebola - Entry Screening at Ports, Airports and Land Crossings","Identify key steps for planning entry screening at selected points of entry.","Points of entry (PoEs) and border health","Ebola","Professionals from National IHR Focal Points (NFPs), health authorities, staff working at points of entry (POE).","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=103",,
"Ebola - Exit Screening at Ports, Airports and Land Crossings","Identify key steps for planning and Implementing exit screening process at selected terminals or facilities","Points of entry (PoEs) and border health","Ebola","Professionals from National IHR Focal Points (NFPs), health authorities, staff working at points of entry (POE).","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=98",,
"Ebola and Marburg diseases screening and treatment center design","In this course, we will explore the fundamental principles and structural requirements underpinning the design and functioning of screening facilities and treatment centres in ebola and marburg diseases context.","Health services provision","Ebola and Marburg","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/536527/0_rt7m1knx/0_j68o40ng",,
"Clinical management of Ebola virus disease","Information on screening and triage, infection prevention and control, laboratory diagnostics, organization of the Ebola Treatment Centre (ETC), clinical care of patients in the ETC, and investigational therapeutic agents.","Health services provision","Ebola","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/media/Ebola%20Module%201%3A%20Screening%20and%20triage%3A%20Recognize%20suspect%20patients%20with%20Ebola%20early/0_guwpwaxh/536527",,
"Emergency Preparedness and IHR Compliance Simulation","This course is a learning game that will prepare you for national health emergencies by practicing how to make more effective decisions and communicating well with stakeholders. This will be a learning game that may be facilitated both in online and face-to-face formats. 
","Research & monitoring and evaluation","Simulation","Policymakers; emergency preparedness stakeholders; WHO IHR staff and contact points, staff from State Parties National Focal Points","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0019_EPIC_EN+2024?from=discovery&source=edX",,
"Emerging respiratory viruses, including COVID-19: methods of detection, prevention, response, and control","Understand the fundamental principles of emerging respiratory viruses and how to effectively respond to an outbreak.","Health emergency preparedness and response management","COVID-19","WHO staff/MoH/HCPs","WHO","HQ/WHE","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/28738",,
"ePROTECT Respiratory Infections: Occupational Health and Safety (COVID-19)","Know the basic principles of acute respiratory infections","Infection prevention and control (IPC) & safe environment in health facilities","IPC","WHO staff/MoH/HCPs","WHO","HQ/WHE","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/28882",,
"EVD - GO Package","Training to perform work safely as part of the teams working to bring the outbreak under control.","Health emergency preparedness and response management","Ebola","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/content/evd-go-package",,
"EVD Preparedness Training Package (WHO Regional Office for Africa – version1)","Include guidance documents for facilitators (facilitation team manual, facilitator guides to run specific sessions) as well as sample evaluation tools to collect participants' and facilitators' feedback.","Health emergency preparedness and response management","Ebola","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English, French, Portuguese","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/content/evd-training-package-1",,
"EVD Rapid Response Teams Training Package","Reinforce the capacity and skills of multidisciplinary RRTs and their individual members to early detect and effectively respond to a potential EVD outbreak.","Health emergency preparedness and response management","Ebola","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English, French","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/content/evd-rrt-training-package",,
"EVD Training Package - gCHV Training on EBOLA Flipbook and IPC","Provide instructions and training material (flipbook) to generic Community Health Volunteers (gCHVs) in conducting training in communities /houses on how to reduce and stop the spread of Ebola and how to protect themselves, their family, and their communities from Ebola","Health emergency preparedness and response management","Ebola","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/content/training-package-2",,
"EVD Training Package - Providing Safe Care in the Community","Training material that brings together locally practiced methods in caring for the sick and best available infection prevention measures in the community. ","Health emergency preparedness and response management","Ebola","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/content/training-package-3",,
"Event Information Site for National IHR Focal Points (EIS)","Consist of brief learning modules comprised of bite-sized learning activities designed for quick consumption with the aim of familiarizing NFPs and relevant WHO staff with the EIS platform.","Surveillance","EIS","National IHR Focal Points (NFPs) and WHO staff","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/course/index.php?categoryid=32",,
"Event Management at Points of Entry"," This online course aims to train relevant personnel at the Points-of-Entry on how to conduct initial risk assessment and management of Ebola event at Points of Entry.","Points of entry (PoEs) and border health","Ebola"," National IHR Focal Points","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/course/index.php?categoryid=33",,
"Facilitation skills for workshops and trainings (ToT)","Training on how to design and deliver a training or workshop - support technical knowledge/skills transfer. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","IHR Coordination and National IHR Focal Point Functions","PHEOC","WHE NPOs/ Hub teams / EMO technical leads","WHO ","HQ/WHE",,"English","In-person",,,,
"Fast Track Training on Public Health Emergencies","The training will provide a comprehensive overview of selected topics that are essential in emergencies.
It is the goal to develop basic field public health skills with practical utility in emergency situations.
It is a hybrid program with online courses and F2F workshop which will focus on practical application of technical knowledge provided in online sessions.","Health emergency preparedness and response management","Health emergencies management","WHE and affiliated staff in countries affected by humanitarian emergencies in EMRO, AFRO and EURO regions. Preferred participants would be people with practical public health experience building on some formal public health. ","WHO","HQ/WHE",,"English","Blended",," ",,
"Global Laboratory Leadership Programme Learning Package","Foster and mentor current and emerging laboratory leaders to build, strengthen, and sustain national laboratory systems. Access to full course materails is made available only on request","Laboratory","Laboratory leadership","Public health institutions (schools of medicine, public health, etc.), ministries and other organizations","WHO","HQ/WHE",,"English","Training toolkits and packages","HSLP ","https://extranet.who.int/hslp/gllp",,
"Go.Data: Building additional dashboards in Power BI","The course covers essential aspects of the creation of customized dashboards in Power BI using the data collected in Go.Data, including how to connect Go.Data to Power BI, how to generate custom dashboards and reports, and how to publish and share the created dashboard with our colleagues or the public.","Surveillance","Power BI","Member states/ MoH/WHO staff","WHO","HQ/WHE/GOARN","goarn@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/502240/0_rwrsmdul/0_6fjycl0h",,
"GOARN Outbreak Response Leadership Training","This programme has been designed to build the individual and collective leadership and crisis management skills of highly experienced outbreak responders to act as influential and trusted leaders during public health emergencies. This course also aims to capacitate senior GOARN deployees with the ability to adapt and apply these leadership and crisis management skills into any kind of public health emergency response and structure.","Leadership ","Outbreak Response; Leadership","GOARN Partners; MoH; Local Responders","WHO","HQ/WHE/GOARN","goarn@who.int","English","Blended","GOARN"," https://goarn.who.int/handbook",,
"GOARN Outbreak Response Scenario Training","The GOARN Outbreak Response Scenario Training is a unique adaptation training designed to orient multidisciplinary GOARN deployees to the processes, realities and challenges of working as part of an international outbreak response team. This training provides a safe space for public health experts of various specialties to build and test their skills, behaviours and attitudes as they work in an international multidisciplinary team in which they must apply their existing technical skills in a new, challenging and dynamic environment in order to effectively solve an evolving outbreak of unknown etiology. This training focuses on the development and assessment of the soft skill behavioural indicators of the GOARN core competencies for working effectively in an international multidisciplinary outbreak response teams.","Health emergency preparedness and response management","Outbreak Response; Team work","GOARN Partners; MoH; Local Responders","WHO","HQ/WHE/GOARN","goarn@who.int","English","In-person","GOARN","https://goarn.who.int/handbook/annex9",,
"Infection prevention and control for COVID-19 in health care and community settings","Provide information on what facilities should be doing to be prepared to respond to a case of an emerging respiratory virus such as the novel coronavirus, how to identify a case once it occurs, and how to properly implement IPC measures to ensure there is no further transmission to HCW or to other patients and others in the healthcare facility.","Infection prevention and control (IPC) & safe environment in health facilities","COVID-19","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/521973/0_h5hxtqyg/0_j4iv6bgk",,
"Influenza prevention and control","Overview of the tools to prevent and control influenza","Health services provision","Influenza","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","Arabic, Albanian, Chinese, English, French, Portuguese, Spanish, Russian ","Online","OpenWHO","https://openwho.org/playlist/dedicated/501679/0_xor51fug/0_jbf659cx",,
"PHEOC intermediate and advanced courses ","PHEOC_net courses for supporting MS PHEOC capacity stregthening ","Health emergency preparedness and response management","PHEOC","MS PHEOC Staff","WHO / CDC","HQ/WHE",,"English","In-person",,,,
"Simulation Exercise Management: Introduction","This course is an introduction to simulation exercises and their value as part of wider emergency preparedness to raise awareness among a non-technical audience. The goal of this course is to support the development and management of an effective fit-for-purpose exercise programme, by providing consistent practical guidance and tools on exercise design and implementation.","Research & monitoring and evaluation","Simulation","Member states/ MoH/WHO staff","WHO","HQ/WHE/HSP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/500867/0_sz4szoxc/0_qkklla2u",,
"Six steps for sustainable implementation of national action plans on antimicrobial resistance
","The aim of this course is to provide information on the “WHO implementation handbook for national action plans on antimicrobial resistance: guidance for the human health sector” and the 6 steps for sustainable implementation of NAPs on AMR.
","Health emergency preparedness and response management","AMR","National and subnational policy-makers responsible for prioritizing and leading AMR interventions in the human health sector","WHO","HQ/AMR","whoasupport@who.int","English, French, Spanish","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0042EN+H0042EN_Q4_2024?source=edX
",,
"SocialNet: Empowering communities before, during, and after an infectious disease outbreak","The aim of this course is to provide an overview of operational concepts in relation to community engagement, risk communication, and the application of social science interventions. This course is designed for health emergency preparedness and response professionals, policy makers and partners.","Risk communication and community engagement (RCCE)","RCCE","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","Arabic, Chinese, English, French , Russian, Spanish, ","Online","OpenWHO","https://openwho.org/playlist/dedicated/501691/0_gu0eoh5o/0_udh6fa42",,
"WHO Simulation Exercise Management Training ","This course is designed to provide participants with a foundational understanding of Simulation Exercises (Simex) in the context of public health. It introduces the benefits of Simex as a valuable tool for strengthening emergency preparedness and response, particularly within the framework of WHO guidance. Participants will gain knowledge of key terminology, concepts, and principles outlined in the WHO Simex Manual, and explore the various phases of the Exercise Project Cycle—from planning to conduct and post-exercise review. By the end of the course, learners will be equipped to identify and select the most appropriate type of exercise based on specific objectives and apply their understanding to effectively support public health preparedness initiatives.","Research & monitoring and evaluation","Simulation","MoH/WHO","WHO","HQ/WHE/HSP",,"English","Online","iLearn","https://who.csod.com/ui/lms-learning-details/app/course/01ac7d5d-5d87-4c89-8fd0-99998c806a50",,
"Introduction to the International Health Regulations Monitoring and Evaluation Framework","This course aims to equip participants with the knowledge and skills required to objectively monitor and evaluate the implementation of the IHR at country level and to prioritize actions for developing National Action Plans for Health Security (NAPHS) aimed to improve pandemic preparedness. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","Health emergency preparedness and response management","IHR","NFPs/WHO WHE staffs/MoH","WHO","WHO Academy","whoasupport@who.int","English","Online"," WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0093_IHRME_EN+2024?source=edX",,
"Leadership and programme management in infection prevention and control module, Trainers guide","The Leadership and programme management in infection prevention and control (IPC) advanced training module is part of a package designed for advanced IPC focal persons working in low-resource settings. It is designed to support the 
implementation of the World Health Organization (WHO) Guidelines on core components of IPC programmes at the national and acute health care facility level as part of a multifaceted approach to capacity building. ","Infection prevention and control (IPC) & safe environment in health facilities","Leadership in IPC","Senior leadership position in IPC at the national, sub-national and health facility level.","WHO","HQ/UHC/HIS/IPC","coutinhoa@who.int","English","Training toolkits and packages",,"https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/core-components/trainer-guide.pdf?sfvrsn=aa7f38b1_4&download=true","Link for power point slides - https://www.who.int/publications/m/item/ipc-training-leadership-and-programme-management-in-infection-prevention-and-control-module-presentation; Link to the student handbook ",
"Infection prevention and control measures in health-care settings for Ebola or Marburg disease outbreaks","This course on IPC for Ebola and Marburg disease consists of four modules which will highlight the infection prevention and control recommendations as outlined in the WHO Infection prevention and control guideline for Ebola disease and Marburg disease (August 2023)","Infection prevention and control (IPC) & safe environment in health facilities","Ebola and Marburg","IPC leads and staffs in health care settings","WHO","HQ/WHE/IPC","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/521973/0_qv81s96r/0_w6xwueg3",,
"Prevention of surgical site infection (SSI) – December 2018 update","This course is designed to support implementation of the WHO global guidelines for the prevention of surgical site infection (SSI). It introduces recommended best practices and a multimodal approach for successful implementation and improvement. Trainees are expected to possess at least basic experience and competence in IPC to participate in this training.","Infection prevention and control (IPC) & safe environment in health facilities","SSI","IPC leads and staffs in health care settings","WHO","HQ/UHC/HIS/IPC","coutinhoa@who.int","English","Training toolkits and packages","Webpage","https://www.who.int/teams/integrated-health-services/infection-prevention-control/ipc-training-resources#ssi",,
"Prevention of catheter-associated urinary tract infections (CAUTI)","The training on Prevention of Catheter-Associated Urinary Tract Infections (CAUTI) aims to enhance healthcare workers’ knowledge of CAUTI risk factors and evidence-based prevention strategies. It seeks to promote adherence to infection prevention and control (IPC) guidelines, including appropriate catheter use and maintenance. ","Infection prevention and control (IPC) & safe environment in health facilities","IPC","IPC leads and staffs in health care settings","WHO","HQ/UHC/HIS/IPC",,"English","Training toolkits and packages","Webpage","https://www.who.int/teams/integrated-health-services/infection-prevention-control/ipc-training-resources#CAUTI",,
"Standard precautions: Injection safety and needle-stick injury management","In this course, you will learn about the causes of unsafe injection practices, how to safely give injections, and how to safely dispose of needles and other sharps. You will also learn what to do when needle-stick injuries occur, how to manage potential exposures, and ways to protect yourself, the staff and patients in your facility, and your community.","Infection prevention and control (IPC) & safe environment in health facilities","Injection safety","Healthcare professionals","WHO","HQ/UHC/HIS/IPC",,"English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0113EN+2025_Q1","Training package is available here https://www.who.int/teams/integrated-health-services/infection-prevention-control/ipc-training-resources#injection%20safety ",
